iso;country;language;id;region1;region2;region3;region4;locality;postcode;suburb;latitude;longitude;elevation;iso2;fips;nuts;hasc;stat;timezone;utc;dst
AE;United Arab Emirates;EN;1000000092;Abu Dhabi;;;;Abu Dhabi;;;24.474796;54.370576;8;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000093;Abu Dhabi;;;;Abu Dhabi Airport;;;24.423100;54.656100;24;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000094;Abu Dhabi;;;;Abu Dhabi Gate City;;;24.393700;54.502100;2;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000095;Abu Dhabi;;;;Al Ain;;;24.223974;55.751006;277;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000096;Abu Dhabi;;;;Al Aman;;;24.432260;54.423530;3;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000097;Abu Dhabi;;;;Al Atir;;;23.162610;53.736170;124;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000098;Abu Dhabi;;;;Al Ayn;;;24.191670;55.760560;277;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000100;Abu Dhabi;;;;Al Bahia;;;24.560937;54.640933;0;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000101;Abu Dhabi;;;;Al Baladiyah;;;24.487860;54.374470;7;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000103;Abu Dhabi;;;;Al Bateen;;;24.445966;54.352623;3;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000104;Abu Dhabi;;;;Al Dhafrah;;;24.476147;54.369360;9;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000105;Abu Dhabi;;;;Al Falah City;;;24.436800;54.705000;27;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1012387859;Abu Dhabi;;;;Al Falah New Community;;;24.448868;54.727545;31;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000106;Abu Dhabi;;;;Al Ghadeer;;;24.842717;55.027150;30;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000107;Abu Dhabi;;;;Al Hadhi;;;23.106420;53.995270;104;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000108;Abu Dhabi;;;;Al Hayer;;;24.588886;55.744158;291;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000109;Abu Dhabi;;;;Al Hisn;;;24.480230;54.353010;5;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000110;Abu Dhabi;;;;Al Hosn;;;24.482646;54.352166;5;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000111;Abu Dhabi;;;;Al Hudayriat Island;;;24.420600;54.349000;3;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000112;Abu Dhabi;;;;Al Idd;;;23.079890;53.552450;105;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000113;Abu Dhabi;;;;Al Ittihad;;;24.454980;54.388570;-3;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000114;Abu Dhabi;;;;Al Jahr;;;24.250000;55.583330;213;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000115;Abu Dhabi;;;;Al Jami al Kabir;;;24.412370;54.476200;20;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000117;Abu Dhabi;;;;Al Karamah;;;24.465300;54.371509;5;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000118;Abu Dhabi;;;;Al Khabb;;;24.589690;55.746270;298;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000119;Abu Dhabi;;;;Al Khaleej Al Arabi;;;24.421800;54.420000;6;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000120;Abu Dhabi;;;;Al Khalidiya;;;24.470182;54.347228;24;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000121;Abu Dhabi;;;;Al Khalidiyah;;;24.467690;54.349590;11;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000123;Abu Dhabi;;;;Al Khatim;;;24.200000;54.833330;81;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000124;Abu Dhabi;;;;Al Khazna;;;24.169088;55.134002;143;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000125;Abu Dhabi;;;;Al Khaznah;;;24.167970;55.111570;129;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000126;Abu Dhabi;;;;Al Khis;;;23.008480;54.196260;109;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000127;Abu Dhabi;;;;Al Khubayrah;;;24.463460;54.331080;7;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000128;Abu Dhabi;;;;Al Khubeirah;;;24.465247;54.336830;9;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000129;Abu Dhabi;;;;Al Mafraq;;;24.303840;54.628910;11;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000132;Abu Dhabi;;;;Al Manhal;;;24.476550;54.360573;4;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000133;Abu Dhabi;;;;Al Maqta;;;24.402600;54.471400;2;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000134;Abu Dhabi;;;;Al Marfa;;;24.099110;53.490770;7;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000135;Abu Dhabi;;;;Al Mariah United Group;;;24.494240;54.367670;14;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000136;Abu Dhabi;;;;Al Mariyah;;;23.138480;53.742600;108;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000137;Abu Dhabi;;;;Al Mariyah al Gharbiyah;;;23.102650;53.581850;108;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
AE;United Arab Emirates;EN;1000000138;Abu Dhabi;;;;Al Markaziyah;;;24.493343;54.366675;18;AE-AZ;AE01;;AE.AZ;;Asia/Dubai;+04:00;+04:00
